时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-13 08:04:52,,RuiMei520,,,,开始进服,,,,,xuid=2535415063495605
2023-03-13 08:05:09,主世界,RuiMei520,1,303,-2,进入服务器,,,,,xuid=2535415063495605
2023-03-13 08:05:34,主世界,RuiMei520,1,73,-5,玩家死亡,,,,,
2023-03-13 08:05:34,主世界,RuiMei520,1,73,-5,重生,,,,,
2023-03-13 08:05:38,主世界,RuiMei520,-63,65,-64,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:05:41,主世界,RuiMei520,-62,65,-67,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:05:46,主世界,RuiMei520,-63,65,-66,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:05:50,主世界,RuiMei520,-63,65,-66,使用物品点击方块,minecraft:snow_layer,-63,63,-66,使用物品：菜单 类型：pa:menu
2023-03-13 08:05:50,主世界,RuiMei520,-63,65,-66,放置方块,minecraft:snow_layer,-63,63,-66,
2023-03-13 08:05:52,主世界,RuiMei520,-63,65,-66,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:05:54,主世界,RuiMei520,-63,65,-66,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:05:58,主世界,RuiMei520,0,303,0,使用物品,菜单,,,,类型：pa:menu
2023-03-13 08:06:05,主世界,RuiMei520,0,303,0,使用物品点击方块,minecraft:gold_block,1,300,-1,使用物品：菜单 类型：pa:menu
2023-03-13 08:06:05,主世界,RuiMei520,0,303,0,放置方块,minecraft:gold_block,1,300,-1,
2023-03-13 08:06:05,主世界,RuiMei520,0,303,0,使用物品点击方块,minecraft:gold_block,1,300,-1,使用物品：菜单 类型：pa:menu
2023-03-13 08:06:05,主世界,RuiMei520,0,303,0,放置方块,minecraft:gold_block,1,300,-1,
2023-03-13 08:06:06,主世界,RuiMei520,0,303,0,使用物品点击方块,minecraft:gold_block,1,300,-1,使用物品：菜单 类型：pa:menu
2023-03-13 08:06:06,主世界,RuiMei520,0,303,0,放置方块,minecraft:gold_block,1,300,-1,
2023-03-13 08:06:06,主世界,RuiMei520,0,303,0,使用物品点击方块,minecraft:gold_block,1,300,-1,使用物品：菜单 类型：pa:menu
