时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-04-24 13:27:54,,QWERTYUIOP6809,,,,开始进服,,,,,xuid=2535437480063047
2023-04-24 13:28:38,主世界,QWERTYUIOP6809,499,65,809,进入服务器,,,,,xuid=2535437480063047
2023-04-24 13:28:47,主世界,QWERTYUIOP6809,495,65,814,使用物品点击方块,minecraft:chest,499,61,816,使用物品： 类型：
2023-04-24 13:28:47,主世界,QWERTYUIOP6809,495,65,814,打开容器,minecraft:chest,499,61,816,
2023-04-24 13:28:47,主世界,QWERTYUIOP6809,495,65,814,方块接受玩家互动,minecraft:chest,499,61,816,
2023-04-24 13:28:48,主世界,QWERTYUIOP6809,495,65,814,向容器放入物品,minecraft:chest,499,61,816,向第4号槽 放入30个 干海带 0.5 0.1 0.8秒
2023-04-24 13:28:48,主世界,QWERTYUIOP6809,495,65,814,向容器放入物品,minecraft:chest,499,61,816,向第4号槽 放入31个 干海带 0.5 0.1 0.8秒
2023-04-24 13:28:49,主世界,QWERTYUIOP6809,495,65,814,关闭容器,minecraft:chest,499,61,816,
2023-04-24 13:30:16,主世界,QWERTYUIOP6809,484,65,760,使用物品点击方块,minecraft:undyed_shulker_box,484,62,760,使用物品： 类型：
2023-04-24 13:30:16,主世界,QWERTYUIOP6809,484,65,760,打开容器,minecraft:undyed_shulker_box,484,62,760,
2023-04-24 13:30:16,主世界,QWERTYUIOP6809,484,65,760,方块接受玩家互动,minecraft:undyed_shulker_box,484,62,760,
2023-04-24 13:30:17,主世界,QWERTYUIOP6809,484,62,760,关闭容器,minecraft:undyed_shulker_box,484,62,760,
2023-04-24 13:30:31,,QWERTYUIOP6809,,,,离开服务器,,,,,
2023-04-24 13:48:24,,QWERTYUIOP6809,,,,开始进服,,,,,xuid=2535437480063047
2023-04-24 13:48:45,,QWERTYUIOP6809,,,,离开服务器,,,,,
2023-04-24 15:46:41,,QWERTYUIOP6809,,,,开始进服,,,,,xuid=2535437480063047
2023-04-24 15:47:25,主世界,QWERTYUIOP6809,485,61,760,进入服务器,,,,,xuid=2535437480063047
