时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-17 11:04:16,,,,,,执行后台命令,allowlist add Sapnap5230,,,,
2023-03-17 11:12:07,,Sapnap5230,,,,开始进服,,,,,xuid=2535433257699721
2023-03-17 11:12:50,主世界,Sapnap5230,-62,65,-62,进入服务器,,,,,xuid=2535433257699721
2023-03-17 11:13:19,,Sapnap5230,,,,离开服务器,,,,,
2023-03-17 11:13:53,,Sapnap5230,,,,开始进服,,,,,xuid=2535433257699721
2023-03-17 11:14:35,主世界,Sapnap5230,-62,65,-62,进入服务器,,,,,xuid=2535433257699721
2023-03-17 11:14:48,主世界,Sapnap5230,-62,65,-61,使用物品,菜单,,,,类型：pa:menu
2023-03-17 11:14:54,主世界,Sapnap5230,-62,65,-61,使用物品,菜单,,,,类型：pa:menu
2023-03-17 11:14:56,主世界,Sapnap5230,-62,65,-61,使用物品,菜单,,,,类型：pa:menu
2023-03-17 11:15:22,,Sapnap5230,,,,离开服务器,,,,,
2023-03-17 11:50:09,,Sapnap5230,,,,开始进服,,,,,xuid=2535433257699721
2023-03-17 11:50:54,主世界,Sapnap5230,-62,65,-61,进入服务器,,,,,xuid=2535433257699721
2023-03-17 11:51:13,,Sapnap5230,,,,离开服务器,,,,,
