时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-13 17:00:10,,NaturalPlains84,,,,开始进服,,,,,xuid=2535444718168130
2023-03-13 17:00:33,主世界,NaturalPlains84,-85,65,-219,进入服务器,,,,,xuid=2535444718168130
2023-03-13 17:01:17,,NaturalPlains84,,,,离开服务器,,,,,
2023-03-14 00:33:09,,NonTundra947144,,,,开始进服,,,,,xuid=2535439767539353
2023-03-14 00:33:56,主世界,NonTundra947144,-62,66,-60,进入服务器,,,,,xuid=2535439767539353
2023-03-14 00:34:54,主世界,NonTundra947144,-44,66,-43,聊天,有人吗？,,,,
2023-03-14 00:35:22,主世界,NonTundra947144,-83,65,97,使用物品点击方块,minecraft:reeds,-84,64,96,使用物品： 类型：
2023-03-14 00:36:09,主世界,NonTundra947144,-70,65,-20,破坏耕地,minecraft:farm_land,-71,62,-20,
2023-03-14 00:36:09,主世界,小麦,-69,63,-20,破坏耕地,minecraft:farm_land,-70,62,-20,
2023-03-14 00:36:22,主世界,NonTundra947144,-99,65,-49,破坏方块,minecraft:log,-100,64,-49,
2023-03-14 00:36:23,主世界,NonTundra947144,-99,65,-49,捡起物品,橡树原木,-99,64,-49,1个
2023-03-14 00:36:26,主世界,NonTundra947144,-99,65,-49,破坏方块,minecraft:log,-100,65,-49,
2023-03-14 00:36:26,主世界,NonTundra947144,-99,66,-49,捡起物品,橡树原木,-99,64,-48,1个
2023-03-14 00:36:29,主世界,NonTundra947144,-100,66,-49,破坏方块,minecraft:log,-100,66,-49,
2023-03-14 00:36:30,主世界,NonTundra947144,-100,66,-48,捡起物品,橡树原木,-99,65,-49,1个
2023-03-14 00:36:33,主世界,NonTundra947144,-100,66,-48,破坏方块,minecraft:log,-100,67,-49,
2023-03-14 00:36:33,主世界,NonTundra947144,-100,66,-48,捡起物品,橡树原木,-100,66,-48,1个
2023-03-14 00:36:45,主世界,NonTundra947144,-100,66,-48,使用物品点击方块,minecraft:grass,-102,63,-50,使用物品：工作台 类型：minecraft:crafting_table
2023-03-14 00:36:45,主世界,NonTundra947144,-100,66,-48,放置方块,minecraft:grass,-102,63,-50,
2023-03-14 00:36:45,主世界,NonTundra947144,-100,66,-48,使用物品点击方块,minecraft:crafting_table,-102,64,-50,使用物品： 类型：
2023-03-14 00:36:45,主世界,NonTundra947144,-100,66,-48,打开容器,minecraft:crafting_table,-102,64,-50,
2023-03-14 00:36:51,主世界,NonTundra947144,-100,66,-49,使用物品,木镐 +2 59,,,,类型：minecraft:wooden_pickaxe
2023-03-14 00:36:55,主世界,NonTundra947144,-100,66,-49,破坏方块,minecraft:crafting_table,-102,64,-50,
2023-03-14 00:36:56,主世界,NonTundra947144,-101,66,-49,捡起物品,工作台,-102,64,-50,1个
2023-03-14 00:37:07,主世界,NonTundra947144,-124,66,-49,使用物品,木镐 +2 59,,,,类型：minecraft:wooden_pickaxe
2023-03-14 00:37:08,主世界,NonTundra947144,-124,66,-49,破坏方块,minecraft:grass,-124,63,-50,
2023-03-14 00:37:10,主世界,NonTundra947144,-123,66,-49,使用物品,木镐 +2 59,,,,类型：minecraft:wooden_pickaxe
2023-03-14 00:37:10,主世界,NonTundra947144,-123,65,-49,捡起物品,泥土,-124,63,-50,1个
2023-03-14 00:37:10,主世界,NonTundra947144,-123,65,-50,破坏方块,minecraft:dirt,-124,62,-50,
2023-03-14 00:37:11,主世界,NonTundra947144,-123,64,-50,捡起物品,泥土,-123,63,-50,1个
2023-03-14 00:37:11,主世界,NonTundra947144,-123,64,-50,破坏方块,minecraft:dirt,-124,61,-50,
2023-03-14 00:37:12,主世界,NonTundra947144,-123,63,-50,捡起物品,泥土,-124,61,-50,1个
2023-03-14 00:37:12,主世界,NonTundra947144,-123,63,-50,破坏方块,minecraft:dirt,-124,60,-50,
2023-03-14 00:37:13,主世界,NonTundra947144,-123,62,-50,捡起物品,泥土,-123,60,-49,1个
2023-03-14 00:37:14,主世界,NonTundra947144,-123,62,-50,破坏方块,minecraft:stone,-124,59,-50,
2023-03-14 00:37:14,主世界,NonTundra947144,-123,61,-50,捡起物品,安山岩,-123,60,-49,1个
2023-03-14 00:37:15,主世界,NonTundra947144,-123,61,-50,破坏方块,minecraft:stone,-124,58,-50,
2023-03-14 00:37:16,主世界,NonTundra947144,-123,60,-50,捡起物品,安山岩,-124,58,-49,1个
2023-03-14 00:37:17,主世界,NonTundra947144,-123,60,-50,破坏方块,minecraft:stone,-124,57,-50,
2023-03-14 00:37:17,主世界,NonTundra947144,-123,59,-50,捡起物品,安山岩,-123,57,-49,1个
