时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-22 23:24:47,,,,,,执行后台命令,allowlist add LivedMother234062,,,,
2023-03-23 03:58:38,,,,,,执行后台命令,allowlist add zhanlang2022z,,,,
2023-03-23 03:59:57,,zhanlang2022z,,,,开始进服,,,,,xuid=2535430136812366
2023-03-23 04:00:22,,zhanlang2022z,,,,离开服务器,,,,,
2023-03-23 04:00:44,,zhanlang2022z,,,,开始进服,,,,,xuid=2535430136812366
2023-03-23 04:01:06,,zhanlang2022z,,,,离开服务器,,,,,
2023-03-23 04:04:17,,zhanlang2022z,,,,开始进服,,,,,xuid=2535430136812366
2023-03-23 04:04:42,主世界,zhanlang2022z,1,80,107,进入服务器,,,,,xuid=2535430136812366
2023-03-23 04:11:07,,zhanlang2022z,,,,离开服务器,,,,,
2023-03-23 04:15:49,,zhanlang2022z,,,,开始进服,,,,,xuid=2535430136812366
2023-03-23 04:16:26,主世界,zhanlang2022z,-16,70,127,进入服务器,,,,,xuid=2535430136812366
2023-03-23 04:17:21,主世界,zhanlang2022z,-62,66,52,使用物品点击方块,minecraft:dark_oak_door,-60,64,52,使用物品： 类型：
2023-03-23 04:17:21,主世界,zhanlang2022z,-62,66,52,方块接受玩家互动,minecraft:dark_oak_door,-60,64,52,
2023-03-23 04:17:25,主世界,zhanlang2022z,-57,66,53,使用物品点击方块,minecraft:quartz_bricks,-60,64,53,使用物品： 类型：
2023-03-23 04:17:35,主世界,zhanlang2022z,-53,72,45,使用物品点击方块,minecraft:bed,-53,70,44,使用物品： 类型：
2023-03-23 04:17:35,主世界,zhanlang2022z,-53,72,45,方块接受玩家互动,minecraft:bed,-53,70,44,
2023-03-23 04:18:36,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:iron_block,-113,65,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:36,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:iron_block,-113,65,-15,
2023-03-23 04:18:36,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:grass,-112,65,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:36,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:grass,-112,65,-15,
2023-03-23 04:18:37,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:grass,-111,65,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:37,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:grass,-111,65,-15,
2023-03-23 04:18:45,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:iron_block,-113,64,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:45,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:iron_block,-113,64,-15,
2023-03-23 04:18:46,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:grass,-112,64,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:46,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:grass,-112,64,-15,
2023-03-23 04:18:46,主世界,zhanlang2022z,-107,66,-19,使用物品点击方块,minecraft:grass,-111,64,-15,使用物品：草方块 类型：minecraft:grass
2023-03-23 04:18:46,主世界,zhanlang2022z,-107,66,-19,放置方块,minecraft:grass,-111,64,-15,
2023-03-23 04:19:12,主世界,zhanlang2022z,-104,66,-22,破坏方块,minecraft:iron_block,-107,66,-22,
2023-03-23 04:19:12,主世界,zhanlang2022z,-105,66,-22,破坏方块,minecraft:iron_block,-108,66,-22,
2023-03-23 04:19:14,主世界,zhanlang2022z,-105,66,-22,破坏方块,minecraft:iron_block,-108,66,-21,
2023-03-23 04:19:18,主世界,zhanlang2022z,-109,66,-22,破坏方块,minecraft:polished_deepslate,-113,66,-22,
2023-03-23 04:19:18,主世界,zhanlang2022z,-109,66,-22,破坏方块,minecraft:iron_block,-114,66,-22,
2023-03-23 04:19:18,主世界,zhanlang2022z,-109,66,-22,破坏方块,minecraft:iron_block,-114,66,-21,
2023-03-23 04:19:19,主世界,zhanlang2022z,-110,66,-21,破坏方块,minecraft:iron_block,-115,65,-20,
2023-03-23 04:19:19,主世界,zhanlang2022z,-111,66,-21,破坏方块,minecraft:sea_lantern,-116,65,-20,
2023-03-23 04:19:19,主世界,zhanlang2022z,-111,66,-21,破坏方块,minecraft:verdant_froglight,-116,64,-20,
2023-03-23 04:19:20,主世界,zhanlang2022z,-111,66,-21,破坏方块,minecraft:iron_block,-115,64,-20,
2023-03-23 04:19:20,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-115,63,-20,
2023-03-23 04:19:21,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:smooth_quartz_stairs,-115,63,-21,
2023-03-23 04:19:21,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-115,62,-21,
2023-03-23 04:19:21,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-116,63,-21,
2023-03-23 04:19:21,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:sea_lantern,-116,63,-20,
2023-03-23 04:19:22,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-116,63,-22,
2023-03-23 04:19:25,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-115,66,-21,
2023-03-23 04:19:25,主世界,zhanlang2022z,-112,66,-21,破坏方块,minecraft:iron_block,-115,66,-22,
2023-03-23 04:19:30,主世界,zhanlang2022z,-116,64,-21,破坏方块,minecraft:iron_block,-115,62,-22,
2023-03-23 04:19:30,主世界,zhanlang2022z,-116,64,-21,破坏方块,minecraft:iron_block,-114,62,-22,
2023-03-23 04:19:31,主世界,zhanlang2022z,-116,64,-21,破坏方块,minecraft:iron_block,-114,62,-21,
2023-03-23 04:19:31,主世界,zhanlang2022z,-116,64,-21,破坏方块,minecraft:polished_deepslate,-113,62,-21,
