时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-05-04 18:57:29,,HaoYveDangKong,,,,开始进服,,,,,xuid=2535454969368316
2023-05-04 18:58:01,主世界,HaoYveDangKong,-230,64,-175,进入服务器,,,,,xuid=2535454969368316
2023-05-04 18:58:09,主世界,HaoYveDangKong,-229,65,-174,使用物品点击方块,minecraft:crafting_table,-228,63,-174,使用物品： 类型：
2023-05-04 18:58:09,主世界,HaoYveDangKong,-229,65,-174,打开容器,minecraft:crafting_table,-228,63,-174,
2023-05-04 18:58:18,主世界,HaoYveDangKong,-223,63,-179,破坏方块,minecraft:kelp,-223,62,-181,
2023-05-04 18:58:19,主世界,HaoYveDangKong,-223,63,-179,破坏方块,minecraft:kelp,-223,61,-181,
2023-05-04 18:58:19,主世界,HaoYveDangKong,-223,63,-179,捡起物品,海带,-222,63,-180,1个
2023-05-04 18:58:19,主世界,HaoYveDangKong,-223,63,-179,捡起物品,海带,-223,63,-181,1个
2023-05-04 18:58:41,主世界,HaoYveDangKong,-237,52,-192,玩家死亡,,,,,
2023-05-04 18:58:42,主世界,HaoYveDangKong,-237,52,-192,重生,,,,,
2023-05-04 18:59:21,主世界,HaoYveDangKong,-105,66,-63,使用物品点击方块,minecraft:vine,-111,64,-65,使用物品： 类型：
2023-05-04 18:59:33,主世界,HaoYveDangKong,-140,66,-89,攻击,猪,-141,63,-91,使用物品： 类型：
2023-05-04 18:59:37,主世界,HaoYveDangKong,-140,66,-89,攻击,猪,-141,64,-92,使用物品： 类型：
2023-05-04 18:59:39,主世界,HaoYveDangKong,-142,65,-92,使用物品点击方块,minecraft:grass,-147,62,-96,使用物品： 类型：
2023-05-04 18:59:41,主世界,HaoYveDangKong,-146,65,-97,攻击,猪,-147,63,-98,使用物品： 类型：
2023-05-04 18:59:41,主世界,HaoYveDangKong,-146,65,-97,攻击,猪,-148,64,-99,使用物品： 类型：
2023-05-04 18:59:41,主世界,HaoYveDangKong,-146,65,-97,攻击,猪,-149,63,-100,使用物品： 类型：
2023-05-04 18:59:41,主世界,HaoYveDangKong,-146,65,-97,攻击,猪,-149,62,-100,使用物品： 类型：
2023-05-04 18:59:44,主世界,HaoYveDangKong,-151,64,-101,攻击,猪,-151,62,-101,使用物品： 类型：
2023-05-04 18:59:44,主世界,HaoYveDangKong,-151,64,-101,攻击,猪,-153,63,-102,使用物品： 类型：
2023-05-04 18:59:47,主世界,HaoYveDangKong,-152,64,-102,攻击,猪,-153,63,-101,使用物品：石镐 +3 131 类型：minecraft:stone_pickaxe
